#separator:tab
#html:false
#columns:Day,Week,GrammarName,GrammarMeaning,Pattern,Examples,Notes,DevTip,Exercise,Tags
"Day 3"	"Week 1"	"是字句"	"Câu dùng 是"	"A 是 B (A là B)"	"Công thức:  主语 + 是 + 名词
            (Chủ ngữ) + là + (Danh từ)

⚠️ CHỈ dùng cho DANH TỪ, KHÔNG dùng cho TÍNH TỪ!
   ✅ 他是人。    Tā shì rén.     (Anh ấy LÀ người — danh từ ✅)
   ❌ 他是好。    Tā shì hǎo.     (SAI! ""tốt"" là tính từ)
   ✅ 他很好。    Tā hěn hǎo.     (Anh ấy rất tốt — đúng cách)
---
Phủ định: thêm 不 trước 是

我是中国人。      Wǒ shì Zhōngguó rén.      Tôi là người TQ.
我不是中国人。    Wǒ bú shì Zhōngguó rén.   Tôi KHÔNG phải người TQ.

⚠️ 不 trước 是 đọc là ""bú"" (thanh 2) chứ không phải ""bù"" (thanh 4)!
   Đây là quy tắc biến thanh: 不 + thanh 4 → bú
---
Câu hỏi yes/no: thêm 吗 cuối câu

他是中国人吗？    Tā shì Zhōngguó rén ma?   Anh ấy có phải người TQ không?
→ 是。            Shì.                       Phải. (Đúng vậy)
→ 不是。          Bú shì.                    Không phải.
---
Dịch sang tiếng Trung (dùng 是):

1. Tôi là người.           → __________________
2. Anh ấy là người TQ.     → __________________  
3. Đây là cái gì?          → __________________
4. Đó không phải là anh ấy.→ __________________
5. Cô ấy có phải là ___ không? → __________________"	"⚠️ CHỈ dùng cho DANH TỪ, KHÔNG dùng cho TÍNH TỪ!

⚠️ 不 trước 是 đọc là ""bú"" (thanh 2) chứ không phải ""bù"" (thanh 4)!"	""	"```
Dịch sang tiếng Trung (dùng 是):

1. Tôi là người.           → __________________
2. Anh ấy là người TQ.     → __________________  
3. Đây là cái gì?          → __________________
4. Đó không phải là anh ấy.→ __________________
5. Cô ấy có phải là ___ không? → __________________
```

[Đáp án ẩn]

---"	"week1::day3::grammar"
"Day 4"	"Week 1"	"不 vs 没"	"Phủ Định"	"Khi nào dùng 不 vs 没?"	"不 (bù) — Phủ định HIỆN TẠI / TƯƠNG LAI / Ý MUỐN
  ""Tôi KHÔNG muốn...""
  ""Tôi KHÔNG (sẽ) đi...""
  ""Nó KHÔNG tốt...""

没 (méi) — Phủ định QUÁ KHỨ / SỰ KIỆN ĐÃ XẢY RA
  ""Tôi CHƯA đi...""
  ""Tôi KHÔNG CÓ...""
  ""Nó CHƯA đến...""
---
1. 有 (có) LUÔN dùng 没, KHÔNG BAO GIỜ dùng 不:
   ✅ 没有   méi yǒu    (không có)
   ❌ 不有   bù yǒu     (SAI!)

2. 是 (là) LUÔN dùng 不, KHÔNG dùng 没:
   ✅ 不是   bú shì     (không phải)
   ❌ 没是   méi shì    (SAI!)

3. Tính từ → dùng 不:
   ✅ 不好   bù hǎo     (không tốt)
   ✅ 不大   bú dà      (không lớn)
---
Chọn 不 hay 没:

1. 我___吃。(Tôi chưa ăn — quá khứ)         → ___
2. 我___吃。(Tôi không ăn — từ chối)          → ___
3. 她___有。(Cô ấy không có)                  → ___
4. 这___好。(Đây không tốt)                   → ___
5. 他___是中国人。(Anh ấy không phải người TQ) → ___"	"⚠️ Quy tắc đặc biệt

| | 不 bù | 没 méi |
|---|-------|--------|
| **Thời** | Hiện tại / Tương lai | Quá khứ |
| **Dùng với** | Tính từ, Động từ | 有 (có), Động từ (đã xảy ra) |
| **Nghĩa** | không, không muốn | chưa, không có |
| **Ví dụ** | 不好 (không tốt) | 没有 (không có) |
| | 不吃 (không ăn [tôi từ chối]) | 没吃 (chưa ăn [chưa ăn xong]) |
| | 不去 (không đi [tôi không muốn]) | 没去 (chưa đi [chưa đi lần nào]) |"	"`不` = `!` operator (phủ định trạng thái). `没` = `null check` (kiểm tra sự tồn tại/đã xảy ra chưa)."	"```
Chọn 不 hay 没:

1. 我___吃。(Tôi chưa ăn — quá khứ)         → ___
2. 我___吃。(Tôi không ăn — từ chối)          → ___
3. 她___有。(Cô ấy không có)                  → ___
4. 这___好。(Đây không tốt)                   → ___
5. 他___是中国人。(Anh ấy không phải người TQ) → ___
```

[Đáp án ẩn]

---"	"week1::day4::grammar::comparison"
"Day 5"	"Week 1"	"Câu Hỏi 吗 + Từ Hỏi"	""	"Thêm 吗 cuối câu (Yes/No question)"	"Quy tắc: Câu khẳng định + 吗？ = Câu hỏi

  你好。     →  你好吗？        Bạn khỏe không?
  他是中国人。→  他是中国人吗？  Anh ấy là người TQ không?
  你去。     →  你去吗？        Bạn đi không?
  可以。     →  可以吗？        Được không?
---
什么 shénme = gì      这是什么？    Đây là gì?
谁   shéi   = ai      那是谁？      Đó là ai?
哪里 nǎli   = ở đâu   你在哪里？    Bạn ở đâu?
哪   nǎ     = nào     你是哪国人？  Bạn người nước nào?
多大 duō dà = bao lớn 你多大？      Bạn mấy tuổi?

⚠️ Tiếng Trung KHÔNG đảo ngữ khi hỏi (khác tiếng Anh):
  英 ""Where are you?""      → đảo ""are"" lên trước
  中 ""你在哪里？""           → giữ nguyên SVO, chỉ thay 哪里
---
是不是？   shì bu shì?    Có phải không?
好不好？   hǎo bu hǎo?   Tốt không?
去不去？   qù bu qù?     Đi không?
要不要？   yào bu yào?    Muốn không?"	"⚠️ Tiếng Trung KHÔNG đảo ngữ khi hỏi (khác tiếng Anh):"	"3 cách hỏi = 3 query types: `吗` = boolean query, `什么/谁/哪里` = value query, `V不V` = binary choice."	""	"week1::day5::grammar::question"
"Day 6"	"Week 1"	"几 jǐ vs 多少 duōshao"	""	""	"几 jǐ — hỏi số NHỎ (1–10), dùng với lượng từ
  你几岁？           Nǐ jǐ suì?          Bạn mấy tuổi? (trẻ em)
  几个人？           Jǐ ge rén?           Mấy người?
  几点？             Jǐ diǎn?             Mấy giờ?
  今天星期几？       Jīntiān xīngqī jǐ?   Hôm nay thứ mấy?

多少 duōshao — hỏi số LỚN hoặc không biết phạm vi
  你多大？           Nǐ duō dà?           Bao nhiêu tuổi? (người lớn)
  多少钱？           Duōshao qián?         Bao nhiêu tiền?
  多少人？           Duōshao rén?          Bao nhiêu người?"	""	"`几` = `small int` query (expect 1–10). `多少` = `any number` query."	""	"week1::day6::grammar::comparison"
"Day 8"	"Week 2"	"的 (de) Sở Hữu & Mô Tả"	""	"的 là gì?"	"的 (de) = từ kết nối QUAN TRỌNG NHẤT tiếng Trung
Giống ""của"" / ""'s"" nhưng dùng rộng hơn nhiều

3 chức năng chính:
  1. Sở hữu:   A 的 B = B của A
  2. Mô tả:    Adjective 的 Noun = ... Noun
  3. Nominaliztion: Verb 的 = người/vật làm verb đó
---
我的     wǒ de        của tôi
你的     nǐ de        của bạn
他的     tā de        của anh ấy
她的     tā de        của cô ấy
我们的   wǒmen de     của chúng tôi

我的电脑     wǒ de diànnǎo       máy tính của tôi
他的名字     tā de míngzi         tên của anh ấy
中国的文化   Zhōngguó de wénhuà   văn hóa của TQ
---
好的人        hǎo de rén          người tốt
大的公司      dà de gōngsī        công ty lớn  
很好的朋友    hěn hǎo de péngyou  bạn rất tốt
新的电脑      xīn de diànnǎo      máy tính mới
---
Quy tắc: Quan hệ thân thiết / tính từ đơn âm + danh từ → BỎ 的

  ✅ 我妈妈     wǒ māma        mẹ tôi (thân thiết → bỏ 的)
  ✅ 好人       hǎo rén        người tốt (1 âm tiết adj → bỏ 的)
  ✅ 中国人     Zhōngguó rén   người TQ (quốc gia + rén → bỏ 的)

  So sánh:
  我的朋友   wǒ de péngyou   bạn CỦA tôi (giữ 的 — rõ ràng hơn)
  我朋友     wǒ péngyou      bạn tôi (bỏ 的 — informal, nghe tự nhiên)
  → CẢ HAI đều đúng!
---
Dịch sang tiếng Trung:

1. Máy tính của tôi         → __________________
2. Tên của bạn              → __________________
3. Bạn tốt                  → __________________
4. Sách của anh ấy          → __________________
5. Người Việt Nam (của VN)  → __________________"	"⚠️ Khi nào BỎ 的?"	"`的` giống `.` (dot operator) trong OOP: `wǒ.diànnǎo` = `我的电脑`. Khi context rõ ràng thì có thể sugar syntax (bỏ `.`)."	"```
Dịch sang tiếng Trung:

1. Máy tính của tôi         → __________________
2. Tên của bạn              → __________________
3. Bạn tốt                  → __________________
4. Sách của anh ấy          → __________________
5. Người Việt Nam (của VN)  → __________________
```

[Đáp án ẩn]

---"	"week2::day8::grammar"
"Day 9"	"Week 2"	"有 Câu Trúc"	""	"A 有 B (A có B)"	"我有电脑。        Wǒ yǒu diànnǎo.        Tôi CÓ máy tính.
他有很多朋友。    Tā yǒu hěn duō péngyou. Anh ấy có nhiều bạn.
你有手机吗？      Nǐ yǒu shǒujī ma?      Bạn có ĐT không?
---
⚠️ Nhớ: 有 LUÔN dùng 没, KHÔNG BAO GIỜ dùng 不!

我没有钱。        Wǒ méi yǒu qián.       Tôi KHÔNG CÓ tiền.
她没有电脑。      Tā méi yǒu diànnǎo.    Cô ấy không có máy tính.

Nói ngắn (bỏ 有):
我没钱。          Wǒ méi qián.            Tôi không tiền.
---
我有一个电脑。    Wǒ yǒu yí gè diànnǎo.   Tôi có 1 cái máy tính.
他有两本书。      Tā yǒu liǎng běn shū.   Anh ấy có 2 cuốn sách.
你有几个朋友？    Nǐ yǒu jǐ ge péngyou?   Bạn có mấy người bạn?

⚠️ Từ đây, mỗi danh từ cần lượng từ khi đi với số!
   一个人 = một NGƯỜI     (个 = lượng từ chung)
   两本书 = hai CUỐN sách (本 = lượng từ cho sách)
   三杯水 = ba LY nước    (杯 = lượng từ cho cốc/ly)
---
个 gè  = lượng từ CHUNG (dùng cho hầu hết mọi thứ khi không biết LT cụ thể)
本 běn = cuốn (sách, vở)
杯 bēi = cốc/ly (nước, trà, cà phê)
口 kǒu = miệng (đếm người trong gia đình)

一个人       yí ge rén        một người
一本书       yì běn shū       một cuốn sách
一杯茶       yì bēi chá       một cốc trà
三口人       sān kǒu rén      ba người (gia đình)
---
桌子上有一本书。   Zhuōzi shàng yǒu yì běn shū.
Trên bàn CÓ một cuốn sách.

这里有水吗？       Zhèli yǒu shuǐ ma?
Ở đây có nước không?"	"⚠️ Nhớ: 有 LUÔN dùng 没, KHÔNG BAO GIỜ dùng 不!

⚠️ Từ đây, mỗi danh từ cần lượng từ khi đi với số!

⚠️ 有 đặc biệt: Biểu thị sự tồn tại (ở đâu CÓ gì)"	"Lượng từ giống unit type — `int(5)` vs `float(5)` vs `string(""5"")` — cùng số 5 nhưng type khác nhau. Tiếng Trung cùng ""một"" nhưng cần unit: 一个, 一本, 一杯."	""	"week2::day9::grammar"
"Day 11"	"Week 2"	"在 Chỉ Vị Trí"	""	"在 có 2 chức năng:"	"1. 在 = Ở (tại nơi nào)
   我在家。         Wǒ zài jiā.          Tôi ở nhà.
   他在公司。       Tā zài gōngsī.       Anh ấy ở công ty.
   你在哪里？       Nǐ zài nǎli?         Bạn ở đâu?

2. 在 = Đang (đang làm gì)
   我在学中文。     Wǒ zài xué Zhōngwén. Tôi ĐANG học TQ.
   他在吃饭。       Tā zài chī fàn.      Anh ấy đang ăn cơm.
   你在做什么？     Nǐ zài zuò shénme?   Bạn đang làm gì?
---
上     shàng     trên      桌子上     trên bàn
下     xià       dưới      桌子下     dưới bàn
里     lǐ        trong     家里       trong nhà
外     wài       ngoài     外面       bên ngoài
前     qián      trước     前面       phía trước
后     hòu       sau       后面       phía sau
旁     páng      bên cạnh  旁边       bên cạnh

Công thức:  名词 + 方位词 → vị trí
            Danh từ + phương vị → nơi
---
Sách ở TRÊN bàn:        书在桌子上。     Shū zài zhuōzi shàng.
Mèo ở DƯỚI bàn:         猫在桌子下。     Māo zài zhuōzi xià.
Bố ở TRONG nhà:         爸爸在家里。     Bàba zài jiā lǐ.
Anh ấy ở NGOÀI:         他在外面。       Tā zài wàimiàn.
---
Trên bàn CÓ sách:       桌子上有书。     Zhuōzi shàng yǒu shū.
Trong nhà CÓ mèo:       家里有猫。       Jiā lǐ yǒu māo.
Dưới ghế CÓ 1 con chó:  椅子下有一只狗。 Yǐzi xià yǒu yì zhī gǒu."	"- `A 在 B上` = A.location = B.top → ""A ở trên B""

- `B上 有 A` = B.top.contains(A) → ""trên B có A""

Cùng sự thật nhưng khác perspective — giống `map()` vs `filter()`."	"> - `A 在 B上` = A.location = B.top → ""A ở trên B"""	""	"week2::day11::grammar"
"Day 12"	"Week 2"	"想 vs 要"	"Muốn"	"想 xiǎng = muốn (nhẹ nhàng, mong muốn)"	"我想喝水。       Wǒ xiǎng hē shuǐ.       Tôi MUỐN uống nước. (nhẹ nhàng)
我想去中国。     Wǒ xiǎng qù Zhōngguó.   Tôi MUỐN đi TQ. (mơ ước)
你想吃什么？     Nǐ xiǎng chī shénme?     Bạn muốn ăn gì? (hỏi ý kiến)
我想学中文。     Wǒ xiǎng xué Zhōngwén.   Tôi muốn học TQ. (nguyện vọng)

Phủ định: 不想 bù xiǎng = không muốn
  我不想去。     Wǒ bù xiǎng qù.         Tôi không muốn đi.
---
我要喝水！       Wǒ yào hē shuǐ!         Tôi MUỐN uống nước! (quyết liệt)
我要去中国。     Wǒ yào qù Zhōngguó.     Tôi SẼ đi TQ. (đã quyết)
你要几个？       Nǐ yào jǐ ge?             Bạn muốn mấy cái?
明天要下雨。     Míngtiān yào xià yǔ.     Ngày mai SẼ mưa.

Phủ định: 不要 bú yào = đừng! (cấm/mệnh lệnh)
  不要去！       Bú yào qù!               ĐỪNG đi!
  不要说话！     Bú yào shuō huà!         ĐỪNG nói chuyện!
---
想                          要
     ─────────                   ─────────
Mức độ:  nhẹ (wish)               mạnh (will/want/need)
Nghĩa:  muốn, mong                muốn, cần, sẽ
Phủ định: 不想 (không muốn)       不要 (đừng! ← mạnh hơn)

Ví dụ:
  我想吃米饭。 (Tôi muốn ăn cơm — lịch sự, mềm mại)
  我要吃米饭！ (Tôi muốn/cần ăn cơm! — quyết liệt, đói lắm)
  
  我不想去。   (Tôi không muốn đi — từ chối nhẹ nhàng)
  不要去！     (ĐỪNG đi! — ra lệnh / cấm)
---
Chọn 想 hay 要:

1. 你___吃什么？(Hỏi ý kiến lịch sự)       → ___
2. 我___喝咖啡！(Rất cần, đang buồn ngủ)    → ___
3. ___说话！(Đừng nói chuyện!)               → 不___
4. 我___学中文。(Mong muốn, nguyện vọng)    → ___
5. 明天我___去公司。(Sẽ đi — đã quyết)      → ___"	""	"`想` = `would like to` (soft request). `要` = `must / will` (hard requirement). Giống `optional` vs `required` parameter."	"```
Chọn 想 hay 要:

1. 你___吃什么？(Hỏi ý kiến lịch sự)       → ___
2. 我___喝咖啡！(Rất cần, đang buồn ngủ)    → ___
3. ___说话！(Đừng nói chuyện!)               → 不___
4. 我___学中文。(Mong muốn, nguyện vọng)    → ___
5. 明天我___去公司。(Sẽ đi — đã quyết)      → ___
```

[Đáp án ẩn]

---"	"week2::day12::grammar::comparison"
"Day 12"	"Week 2"	"时候"	"Khi nào"	"的时候 = khi.../lúc..."	"吃饭的时候       chī fàn de shíhou        khi ăn cơm
上班的时候       shàngbān de shíhou       khi đi làm
学中文的时候     xué Zhōngwén de shíhou   khi học TQ
我小的时候       wǒ xiǎo de shíhou        khi tôi còn nhỏ

Ví dụ câu:
  吃饭的时候不要看手机。
  Chī fàn de shíhou bú yào kàn shǒujī.
  Khi ăn cơm đừng nhìn ĐT.

  学中文的时候，我听中文歌。
  Xué Zhōngwén de shíhou, wǒ tīng Zhōngwén gē.
  Khi học TQ, tôi nghe nhạc TQ.
---
你什么时候去？   Nǐ shénme shíhou qù?      Bạn bao giờ đi?
你什么时候来？   Nǐ shénme shíhou lái?      Bạn khi nào đến?
他什么时候回家？ Tā shénme shíhou huí jiā?  Anh ấy bao giờ về nhà?"	""	""	""	"week2::day12::grammar"
"Day 13"	"Week 2"	"很 + Tính Từ"	""	"主语 + 很 + 形容词"	"❌ SỐNG VÀ CHẾT: ĐỪNG bao giờ nói 是+Adj!

  ❌ 他是好。    Tā shì hǎo.     (SAI!!)
  ✅ 他很好。    Tā hěn hǎo.     (Anh ấy rất tốt.)

  ❌ 天气是热。  Tiānqì shì rè.   (SAI!!)
  ✅ 天气很热。  Tiānqì hěn rè.   (Thời tiết rất nóng.)

Quy tắc:
  是 (là) → chỉ dùng với DANH TỪ:     他是老师。(Anh ấy LÀ giáo viên.)
  很 (rất) → dùng với TÍNH TỪ:         他很好。  (Anh ấy rất tốt.)
---
Khi nói 他很好 thực tế có 2 nghĩa:
  1. Anh ấy rất tốt. (nhấn mạnh 很)
  2. Anh ấy tốt.     (很 chỉ là filler, nói bình thường)

→ Khi muốn THẬT SỰ nhấn mạnh ""RẤT"": nhấn giọng vào 很
→ Hoặc dùng 很+很: 很很好 ← ít dùng
→ Hoặc dùng 非常 fēicháng: 非常好 = RẤT RẤT tốt
---
今天很热。       Jīntiān hěn rè.         Hôm nay (rất) nóng.
他很忙。         Tā hěn máng.            Anh ấy (rất) bận.
这本书很好。     Zhè běn shū hěn hǎo.    Cuốn sách này (rất) hay.
我很高兴。       Wǒ hěn gāoxìng.         Tôi (rất) vui.
妈妈很漂亮。     Māma hěn piàoliang.      Mẹ (rất) đẹp.
---
✅ 今天不热。    Jīntiān bú rè.          Hôm nay không nóng.
✅ 他不忙。      Tā bù máng.             Anh ấy không bận.
✅ 我不高兴。    Wǒ bù gāoxìng.          Tôi không vui.

⚠️ Phủ định → bỏ 很, chỉ dùng 不 + Adj"	"⚠️ Phủ định → bỏ 很, chỉ dùng 不 + Adj"	"`很` giống `default value` — câu tính từ BẮT BUỘC phải có `很` (hoặc từ tương đương) giống function bắt buộc phải return. Nếu không có `很`, câu nghe dang dở."	""	"week2::day13::grammar"
